SampleID,Soil,Depth,AMXcopiesNb,AMXpresence,AOBcopiesNb,AOAcopiesNb,DaysBelowWaterTable,LOI,C,N,FeIISoil,FeIIISoil,pHSoil,NH4Soil,NO3Soil,avNH4Water,avNO2Water,avNO3Water,avpHWater,avO2Water,avFeIIWater,avFeIIIWater,avSIIWater,avSO4water,NitrifRate,BOD
"1,1",Soil1,3,0,0,75647040,22139211,0,19.773,9.827,0.697,2.578,41.207,6.34,0.16,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103,NA
"1,2",Soil1,9,0,0,42155690,28022237,0,17.27,7.799,0.589,2.578,41.207,6.41,0.137,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1,3",Soil1,15.5,0,0,30712539,40478138,0,13.215,5.601,0.471,2.545,40.856,6.48,0.102,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1,4",Soil1,22,0,0,19269387,44689654,0,11.533,4.837,0.402,2.123,36.305,6.54,0.099,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067,NA
"1,5",Soil1,28,0,0,16384628,34665158,0,10.009,4.131,0.338,1.797,32.088,6.59,0.087,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1,6",Soil1,34.5,0,0,8761557,94823191,0,9.153,3.8,0.31,1.512,27.503,6.6,0.065,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1,7",Soil1,40.5,0,0,18201226,67938396,0,8.995,3.495,0.285,1.39,27.088,6.61,0.081,0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1,8",Soil1,46.5,0,0,7674191,61787400,0,8.03,4.042,0.242,1.309,27.036,6.76,0.096,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067,NA
"1,9",Soil1,55,0,0,20960091,42105698,0,4.564,4.816,0.18,1.309,27.036,6.97,0.096,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,1",Soil2,3.25,0,0,275308766,95561221,56,26.426,14.476,0.982,1.248,22.344,6.58,0.267,0.05,1.554,0.357,31.573,7.46,7.678,0.526,0.297,0.357,37.892,0.18,NA
"2,2",Soil2,9.5,0,0,159192874,80630827,70,21.063,11.336,0.8,5.506,26.352,6.69,0.251,0.056,1.404,0.336,29.965,7.39,5.981,0.506,0.286,0.360,37.990,NA,NA
"2,3",Soil2,15.5,0,0,34783086,89755830,85,20.39,8.321,0.626,10.469,30.763,6.79,0.226,0.061,1.076,0.29,26.454,7.39,5.752,0.411,0.233,0.370,38.462,NA,NA
"2,4",Soil2,22.25,0,0,20491997,26373776,101,12.896,6.747,0.513,7.205,24.174,6.88,0.149,0.034,1.188,0.178,25.57,7.4,5.64,0.310,0.188,0.344,38.951,NA,NA
"2,5",Soil2,29,0,0,35152431,18362052,118,12.993,5.172,0.4,5.255,22.272,6.96,0.114,0.021,1.86,0,28.261,7.41,5.533,0.231,0.193,0.183,39.295,NA,NA
"2,6",Soil2,34.75,0,0,71282474,38941765,135,17.461,4.958,0.377,4.364,23.397,7.04,0.11,0.018,1.831,0,26.833,7.36,5.23,0.218,0.117,0.140,39.670,0.009,NA
"2,7",Soil2,40.75,0,0,10688789,7277543,177,10.106,4.735,0.352,3.08,16.031,7.12,0.1,0.019,2.52,0,17.816,7.3,4.894,0.677,0.136,0.124,40.903,NA,NA
"2,8",Soil2,46.75,0,0,13819811,4548787,218,8.808,4.015,0.292,2.288,10.185,7.22,0.094,0.019,3.026,0,15.456,7.3,4.746,1.809,0.131,0.203,40.431,NA,NA
"2,9",Soil2,53,34765,1,3798881,2497299,244,8.074,3.264,0.229,2.744,8.879,7.32,0.095,0.021,4.455,0,14.997,7.29,4.622,3.317,0.157,0.354,40.647,NA,NA
"2,10",Soil2,59.25,699909,1,3326523,3576615,268,7.314,2.725,0.19,2.651,7.727,7.35,0.116,0.017,6.115,0,14.143,7.28,4.529,5.763,0.191,0.527,40.668,NA,NA
"2,11",Soil2,65.5,121296,1,2854164,2739057,291,6.015,2.185,0.151,2.327,6.733,7.37,0.143,0.012,7.971,0,12.443,7.21,3.81,12.886,0.091,0.750,35.181,0.002,NA
"3,1",Soil3,5,0,0,26062133,58410819,203,66.582,32.705,2.445,5.277,8.226,6.89,0.532,0.028,0.387,0.199,2.166,7.01,2.523,0.976,2.000,0.351,18.841,0.1,7.633
"3,2",Soil3,13,0,0,6512904,177599963,315,54.683,29.322,2.339,137.18,50.359,6.87,0.444,0.024,0.481,0.18,1.901,6.91,2.15,1.292,2.618,0.445,18.892,0.09,4.593
"3,3",Soil3,19,0,0,5391249,293816052,335,44.786,26.784,2.259,120.565,69.039,6.86,0.437,0.024,0.469,0.016,1.802,6.89,1.98,1.478,3.662,0.408,18.640,NA,3.28
"3,4",Soil3,25,4615408,1,8041102,259990983,335,41.081,25.891,2.119,47.942,0,6.9,0.458,0.027,0.523,0.267,1.514,6.88,1.865,1.612,4.383,0.319,18.169,0.065,2.45
"3,5",Soil3,31.25,9560768,1,12498128,229930425,335,43.389,24.96,1.974,47.281,30.472,6.94,0.485,0.018,0.534,0.273,2.011,6.87,1.778,1.210,2.508,0.324,18.099,0.041,1.316
"3,6",Soil3,37.75,8871404,1,91306055,551402085,335,47.178,26.946,1.939,50.483,0,6.97,0.5,0.013,0.599,0.228,2.253,6.87,1.718,1.118,2.001,0.388,17.884,NA,0.648
"3,7",Soil3,44.5,15219386,1,3347403,175698331,335,59.108,29.009,1.903,56.719,0,7.01,0.497,0.016,0.761,0.079,2.267,6.86,1.697,1.131,2.134,0.405,17.188,0.016,0.68
"3,8",Soil3,52,18392958,1,1681120,72702132,335,62.501,32.496,1.952,85.632,17.958,7,0.429,0.018,0.732,0.165,2.251,6.85,1.651,1.156,2.342,0.419,16.645,NA,0.443
"3,9",Soil3,58,27052736,1,4316427,308332434,335,59.74,35.285,1.992,88.792,32.268,7,0.422,0.021,0.708,0.233,2.237,6.85,1.617,1.181,2.514,0.427,17.300,0.009,0.239
"3,10",Soil3,67.5,13308380,1,2453317,66025658,335,58.889,35.285,1.992,67.714,47.7,7.34,0.476,0.023,3.896,0.31,2.144,6.85,1.564,2.863,2.287,0.424,17.904,0.006,0
"4,1",Soil4,2.85,0,0,905788,652293,0,96.515,44.388,0.559,62.73,2.529,5.02,NA,NA,0,0.299,0,5.48,3.07,0.663,0.132,0.201,1.640,0,NA
"4,2",Soil4,8.55,0,0,660761,947342,0,96.65,44.399,0.524,43.102,1.631,5.21,NA,NA,0,0.26,0,5.48,3.07,0.663,0.132,0.201,1.640,NA,NA
"4,3",Soil4,14.25,0,0,483302,998389,118,95.577,44.409,0.488,11.588,0.19,5.4,NA,NA,0,0.297,0,5.48,3.07,0.685,0.139,0.199,1.553,NA,NA
"4,4",Soil4,19.95,0,0,3228516,1820702,335,95.781,44.388,0.579,7.689,0,5.35,NA,NA,0,0.273,0,5.37,2.6,0.934,0.217,0.172,0.556,NA,NA
"4,5",Soil4,25.65,0,0,1836021,1058816,335,95.162,44.367,0.67,8.298,0,5.3,NA,NA,0.192,0.256,0,5.26,2.107,1.301,0.256,0.165,0.000,NA,NA
"4,6",Soil4,31.35,0,0,1163929,750516,335,92.61,44.038,0.68,11.415,0,5.25,NA,NA,0.489,0.263,0.034,5.2,1.991,1.608,0.236,0.165,0.000,NA,NA
"4,7",Soil4,37.1,0,0,3277150,4111901,335,92.436,43.707,0.691,13.14,0,5.19,NA,NA,0.552,0.346,0.083,5.15,1.882,1.669,0.212,0.153,0.000,NA,NA
"4,8",Soil4,43.125,0,0,1049896,802888,335,95.124,44.374,0.685,12.362,0,5.22,NA,NA,0.595,0.524,0,5.11,1.779,2.162,0.205,0.185,0.000,NA,NA
"4,9",Soil4,49.375,0,0,592477,647698,335,95.388,45.065,0.679,12.321,0,5.26,NA,NA,0.252,0.524,0,5.09,1.644,2.595,0.125,0.170,0.000,NA,NA
"4,10",Soil4,55.625,0,0,2985928,2583408,335,94.388,44.801,0.662,12.808,0,5.21,NA,NA,0.134,0.52,0,5.08,1.501,2.918,0.129,0.185,0.000,0.013,NA
"4,11",Soil4,61.875,0,0,3321426,1023970,335,94.505,44.537,0.645,15.082,0,5.15,NA,NA,0.114,0.515,0,5.07,1.416,3.195,0.169,0.211,0.000,NA,NA